source,target,weight
M0062,M0026,0.9980140283379826
M0062,M0025,0.9609897140516984
M0062,M0037,0.9164091937477682
M0062,M0044,0.8839077240667745
M0062,M0001,0.8533847989921741
M0062,M0051,0.8233260007034527
M0062,M0002,0.8102668186765445
M0062,M0028,0.7867098723076823
M0063,M0009,0.9878492183421882
M0063,M0020,0.969905929275671
M0063,M0029,0.9564010909851425
M0063,M0021,0.9550066815435851
M0063,M0042,0.8918678796267049
M0063,M0045,0.8863304005783028
M0063,M0067,0.87106521674674
M0063,M0041,0.8670519825025801
M0064,M0017,0.95984295869372
M0064,M0052,0.9401441714692179
M0064,M0048,0.9302995824243133
M0064,M0042,0.9224721324276652
M0064,M0046,0.9168804925547342
M0064,M0012,0.9166926203470139
M0064,M0007,0.9090595278254865
M0064,M0050,0.9031892642620771
M0065,M0027,0.9798079281896656
M0065,M0040,0.9740714746212947
M0065,M0015,0.9502324205954646
M0065,M0001,0.9259999976806005
M0065,M0066,0.9222771256495499
M0065,M0044,0.9166655322132249
M0065,M0035,0.893555798455335
M0065,M0003,0.8908952164522189
M0066,M0003,0.9958189769624254
M0066,M0035,0.9856680121459225
M0066,M0060,0.9855392719042925
M0066,M0012,0.9537212956147116
M0066,M0015,0.9489184639084591
M0066,M0030,0.9471679831143647
M0066,M0027,0.9404172152826318
M0066,M0028,0.9329887002487425
M0067,M0008,0.9905644091459449
M0067,M0056,0.9679792339537538
M0067,M0020,0.9603574201630898
M0067,M0021,0.9446224400535624
M0067,M0024,0.9298520047542205
M0067,M0009,0.9245153613471915
M0067,M0045,0.9012824249568215
M0067,M0022,0.8995019609846759
M0068,M0055,0.999972236032501
M0068,M0021,0.960406282536906
M0068,M0039,0.9516211742476605
M0068,M0034,0.9507303713383864
M0068,M0032,0.9216607278799923
M0068,M0009,0.9119736840795096
M0068,M0056,0.9054173617808315
M0068,M0016,0.8992408421224534
M0069,M0049,0.9313626444360225
M0069,M0057,0.5526171292796481
M0069,M0054,0.5075820433552546
M0069,M0070,0.4798105928965706
M0069,M0032,0.4545424088747969
M0069,M0004,0.42618878873423893
M0069,M0019,0.4193000590033624
M0069,M0063,0.41322341541416846
M0070,M0069,0.4798105928965706
M0070,M0057,0.45010278831126904
M0070,M0054,0.39845361330105283
M0070,M0049,0.3916791330354194
M0070,M0032,0.3666728839139311
M0070,M0068,0.19071043465705026
M0070,M0055,0.18949278940013187
M0070,M0039,0.16907854861389834
M0071,M0077,0.9468464230969794
M0071,M0116,0.9272289447124775
M0071,M0078,0.8825481563790009
M0071,M0086,0.8167250086698987
M0071,M0128,0.7539933013126512
M0071,M0085,0.7299350568062193
M0071,M0117,0.7244160718798937
M0071,M0130,0.7169372354766004
M0072,M0084,0.9710875379134777
M0072,M0114,0.9519278176149185
M0072,M0091,0.8787129383149416
M0072,M0080,0.8595170978880936
M0072,M0104,0.8480637620208414
M0072,M0096,0.8366999890952415
M0072,M0107,0.8351366711958718
M0072,M0103,0.8322463073574958
M0073,M0122,0.9640092605022382
M0073,M0090,0.9624668761770171
M0073,M0128,0.9614231664390372
M0073,M0098,0.958249967722743
M0073,M0130,0.9348492990757304
M0073,M0086,0.9345205015286427
M0073,M0117,0.9306179503272135
M0073,M0112,0.8647282960886157
M0074,M0101,0.8968101351557207
M0074,M0075,0.8945519201092077
M0074,M0110,0.7961973368318012
M0074,M0111,0.7245674559583735
M0074,M0079,0.7055657965135032
M0074,M0125,0.688352889843752
M0074,M0093,0.6784110826665747
M0074,M0119,0.6023419791377744
M0075,M0111,0.9418572733022539
M0075,M0079,0.9355903338106065
M0075,M0074,0.8945519201092077
M0075,M0101,0.8842528253239517
M0075,M0119,0.8666935707345094
M0075,M0093,0.8518080175656332
M0075,M0123,0.8355602632160484
M0075,M0115,0.8084450428950425
M0076,M0126,0.9559735090912593
M0076,M0117,0.851684079375809
M0076,M0112,0.8467213007699821
M0076,M0116,0.8225840892998877
M0076,M0128,0.7883788672379746
M0076,M0088,0.7182600640945755
M0076,M0083,0.6914163064040905
